"MESSAGE_CODE";"ORIGINAL_TEXT";"TRANSLATED_TEXT"
"APEXIR_ROW_COLUMN_N";"Row Column %0";"Vrstica stolpec %0"
"APEXIR_ROW_FILTER";"Row Filter";"Filter vrstic"
"APEXIR_SAVE_REPORT_DEFAULT";"Save Report *";"Shrani poročilo *"
"APEXIR_SUBSCRIPTION";"Subscription";"Naroči se"
"APEXIR_UNGROUPED_COLUMN";"Ungrouped Column";"Stolpec z odstranjeno grupacijo"
"APEXIR_NULL_SORTING";"Null Sorting";"Razvrščanje praznih vrednosti"
"APEXIR_OPERATOR";"Operator";"Operator"
"APEXIR_REMOVE_FLASHBACK";"Remove Flashback";"Odstrani nastavitev za vrnitev v preteklost (Flashback)"
"APEXIR_REPORT_VIEW";"&lt; Report View";"&lt; Pogled poročila"
"APEXIR_HIGHLIGHT_TYPE";"Highlight Type";"Tip izpostavljanja"
"APEXIR_LABEL";"Label";"Oznaka"
"APEXIR_LAST_DAY";"Last Day";"Zadnji dan"
"APEXIR_LAST_X_DAYS";"Last %0 Days";"Zadnjih %0 dni"
"APEXIR_NEXT";"&gt;";"&gt;"
"APEXIR_SEARCH";"Search";"Iskanje"
"APEX.DATEPICKER_VALUE_LESS_MIN_DATE";"#LABEL# is less than specified minimum date %0.";"#LABEL# je manjši od navedenega najmanjšega datuma %0."
"APEX.NUMBER_FIELD.VALUE_INVALID2";"#LABEL# does not match number format %0 (For example, %1).";"#LABEL# ni pravilne numerične oblike %0 (Npr, %1)."
"APEXIR_3D";"3D";"3D"
"APEXIR_ACTIONS_MENU";"Actions Menu";"Meni akcij"
"APEXIR_AGGREGATE_DESCRIPTION";"Aggregates are displayed after each control break and at the end of the report.";"Agregacije so prikazane po vsakem kontrolnem prelomu in na koncu poročila."
"APEXIR_ALL";"All";"Vse"
"APEXIR_ASCENDING";"Ascending";"Naraščajoče"
"APEXIR_AVERAGE_X";"Average %0";"Povprečje %0"
"APEXIR_BLUE";"blue";"modra"
"APEXIR_CATEGORY";"Category";"Kategorija"
"APEXIR_CELL";"Cell";"Polje"
"APEXIR_COMPARISON_IS_IN_LAST";"is in the last";"je v zadnjem"
"APEXIR_COMPARISON_ISNOT_IN_LAST";"is not in the last";"ni v zadnjem"
"APEXIR_COMPARISON_LIKE";"like";"kot (like)"
"APEXIR_COMPARISON_NOT_IN";"not in";"ne vsebuje"
"APEXIR_COMPUTE";"Compute";"Izračunaj"
"APEXIR_DEFAULT";"Default";"Privzeto"
"APEXIR_DISABLED";"Disabled";"Onemogočeno"
"APEXIR_DISPLAY_IN_REPORT";"Display in Report";"Prikaži v poročilu"
"APEXIR_DO_NOT_AGGREGATE";"- Do not aggregate -";"- Ne agregiraj -"
"APEXIR_EDIT_ALTERNATIVE_DEFAULT";"Edit Alternative Default";"Uredi Privzeto Alternativo"
"APEXIR_EDIT_CHART2";"Edit Chart";"Uredi grafikon"
"APEXIR_EMAIL_ADDRESS";"Email Address";"E-pošta"
"APEXIR_FLASHBACK";"Flashback";"Zavrti nazaj"
"APEXIR_GROUP_BY";"Group By";"Grupiraj po"
"APEXIR_SORT_DESCENDING";"Sort Descending";"Razvrsti padajoče"
"APEXIR_TIME_HOURS";"hours";"ure"
"APEXIR_TIME_MINS";"minutes";"minut"
"APEXIR_VALID_FORMAT_MASK";"Please enter a valid format mask.";"Prosimo vnesite veljavno obliko."
"APEXIR_VALUE_AXIS_TITLE";"Axis Title for Value";"Naslov osi za Vrednost"
"APEXIR_WEEK";"Week";"Teden"
"APEXIR_WEEKLY";"Weekly";"Tedensko"
"APEXIR_X_MONTHS";"%0 months";"%0 mesecev"
"APEXIR_X_YEARS";"%0 years";"%0 let"
"SINCE_NOW";"Now";"Sedaj"
"APEXIR_ADD_GROUP_BY_COLUMN";"Add Group By Column";"Dodaj stolpec za grupacijo"
"APEXIR_ADD_PIVOT_COLUMN";"Add Pivot Column";"Dodaj Pivot Stolpec"
"APEXIR_CHART_LABEL_NOT_NULL";"Chart label must be specified";"Oznaka grafa mora biti določena"
"APEXIR_COLUMN_FILTER";"Filter...";"Filter..."
"APEXIR_EDIT_PIVOT";"Edit Pivot";"Uredi pivot"
"APEXIR_GROUP_BY_COL_NOT_NULL";"Group by column must be specified";"Stolpec za grupacijo mora biti opredeljen"
"APEXIR_HELP_GROUP_BY";"You can define one Group By view per saved report. Once defined, you can switch between the group by and report views using view icons on the Search bar. To create a Group By view, you select: <p></p><ul> <li>the columns on which to group</li> <li>the columns to aggregate along with the function to be performed (average, sum, count, etc.)</li> </ul>";"Določite lahko en pogleg za grupacijo na shranjeno poročilo. Ko je enkrat določen, lahko preklapljate med pogledom z grupacijo in klasično obliko s pritiskom na ikono za vpogled v iskalni vrstici. Za kreiranje pogleda z grupacijo izberite:  <p></p><ul> <li>stolpce na katerih se dela grupacija</li> <li>stolpce na katerih se dela agregacija skupaj z želeno fukcijo (average, sum, count, itd.)</li> </ul>"
"APEXIR_HELP_SEARCH_BAR_REPORTS";"<li><b>Reports</b> displays alternate default and saved private or public reports.</li>";"<li><b>Poročila</b> prikazujejo privzete alternative in shranjena privatna in javna poročila.</li>"
"APEXIR_PIVOT";"Add Pivot Column";"Dodaj vrtilni stolpec"
"APEXIR_PIVOT_AGG_NOT_ON_ROW_COL";"You cannot aggregate on a column selected to as row column.";"Ne morete narediti agregacije na stolpcu, ki je izbran kot vrstica stolpec."
"APEXIR_PIVOT_COLUMN_N";"Pivot Column %0";"Vrtilni stolpec %0"
"APEXIR_ROW_COLUMNS";"Row Columns";"Vrstica stolpcev"
"APEXIR_SELECT_ROW";"Select Row";"Izberi vrstico"
"APEXIR_SELECT_ROW_COLUMN";"- Select Row Column -";"- Izberi Vrstica Stolpec -"
"APEXIR_TABLE_SUMMARY";"Region = %0, Report = %1, View = %2, Displayed Rows Start = %3, Displayed Rows End = %4, Total Rows = %5";"Regija = %0, Poročilo = %1, Pogled = %2, Prikazano vrstic začetek = %3, Prikazano vrstic konec = %4, Skupno vrstic = %5"
"APEXIR_TOGGLE";"Toggle";"Preklop"
"APEXIR_HELP_SEARCH_BAR";"At the top of each report page is a search region. The region provides the following features:<p/><ul><li><b>Select columns icon</b> allows you to identify which column to search (or all).</li><li><b>Text area</b> allows for case insensitive search criteria (no need for wild cards).</li><li><b>Rows</b> selects the number of records to display per page.</li><li><b>[Go] button</b> executes the search.</li><li><b>Actions Menu icon</b> displays the actions menu (discussed next).</li></ul><p/>Please note that all features may not be available for each report.";"Na vrhu vsake strani s poročilom je iskalno področje. To področje omogoča: 
<p/> 
<ul><li><b>Izbor ikone stolpcev</b> omogoča določitev po katerem stolpcu se išče ( lahko tudi po vseh).</li> 
<li><b>Tekstovno področje</b> omogoča vnos iskalnih kriterijev (iskanje ni občutljivo na velike in male črke, prav tako ni potrebno uporabljati nadomestnih znakov).</li> 
<li><b>Vrstice</b> izbor števila vrstic, ki bodo prikazane na posamezno stran.</li> 
<li><b>[Pojdi] gumb</b> izvede iskanje.</li> 
<li><b>Ikona meni akcij</b> prikaže akcijski meni (opisan kasneje).</li></ul> 
Vse možnosti niso na voljo za vsako poročilo."
"APEXIR_NEXT_X_DAYS";"Next %0 Days";"Naslednjih %0 dni"
"APEXIR_NEXT_X_HOURS";"Next %0 Hours";"Naslednje %0 ur"
"APEXIR_NO";"No";"Ne"
"APEXIR_NO_COLUMN_INFO";"No column information available.";"Ni informacij o stolpcu."
"APEXIR_NONE";"- None -";"- Brez -"
"APEXIR_NULLS_ALWAYS_LAST";"Nulls Always Last";"Prazne vrednosti na koncu"
"APEXIR_REMOVE_ALL";"Remove All";"Odstrani vse"
"APEXIR_ROW";"Row";"Vrstica"
"APEXIR_KEYPAD";"Keypad";"Tipkovnica"
"APEXIR_LAST_HOUR";"Last Hour";"Zadnja ura"
"APEXIR_MOVE";"Move";"Premakni"
"APEXIR_ROWS";"Rows";"Vrstice"
"APEXIR_SAVE";"Save";"Shrani"
"APEX.NUMBER_FIELD.VALUE_NOT_BETWEEN_MIN_MAX";"#LABEL# is not between the valid range of %0 and %1.";"#LABEL# ni med vrednostjo od %0 do %1."
"APEXIR_COMPARISON_IN";"in";"v"
"APEXIR_COMPARISON_IS_NOT_NULL";"is not null";"ni prazna vrednost (not null)"
"APEXIR_COMPUTATION";"Computation";"Izračun"
"APEXIR_DEFAULT_REPORT_TYPE";"Default Report Type";"Privzeti tip poročila"
"APEXIR_DELETE_CONFIRM";"Would you like to delete these report settings?";"Želite izbrisati nastavitve za poročilo?"
"APEXIR_DELETE_CONFIRM_JS_DIALOG";"Would you like to perform this delete action?";"Želite nadaljevati z operacijo brisanja?"
"APEXIR_EDIT_CHART";"Edit Chart Settings";"Uredi nastavitve grafa"
"APEXIR_EMAIL_FREQUENCY";"Frequency";"Frekvenca"
"APEXIR_EMAIL_SEE_ATTACHED";"See attached.";"Glej prilogo."
